Any,Núm. Mes,Nom Mes,Regió Policial (RP),Àrea Bàsica Policial (ABP),Província,Comarca,Municipi,Tipus de lloc dels fets,Tipus de fet,Tipus de fet (Codi penal) o d’Infracció (altres lleis),Àmbit fet,Rol,Sexe,Edat,Nombre víctimes
2021,1,gener,RP Metropolitana Barcelona,ABP Ciutat Vella,Barcelona,Barcelonès,Barcelona,Via Pública urbana,Delicte,Contra exer. drets fonamentals i llib. públiques,LGTBI-fòbia,Víctima,HOME,28,1
2021,1,gener,RP Metropolitana Barcelona,ABP Ciutat Vella,Barcelona,Barcelonès,Barcelona,Via Pública urbana,Delicte,Contra exer. drets fonamentals i llib. públiques,LGTBI-fòbia,Víctima,HOME,27,1
2021,1,gener,RP Metropolitana Barcelona,ABP Ciutat Vella,Barcelona,Barcelonès,Barcelona,Via Pública urbana,Delicte,Lesions (lleu),LGTBI-fòbia,Persona autora,DONA,23,1
2021,1,gener,RP Metropolitana Barcelona,ABP Ciutat Vella,Barcelona,Barcelonès,Barcelona,Via Pública urbana,Delicte,Lesions (lleu),LGTBI-fòbia,Víctima,HOME,24,1
2021,1,gener,RP Metropolitana Barcelona,ABP Ciutat Vella,Barcelona,Barcelonès,Barcelona,Via Pública urbana,Delicte,Lesions (lleu),LGTBI-fòbia,Persona autora,DONA,21,1
2021,1,gener,RP Central,ABP Bages,Barcelona,Bages,Manresa,Centre religiós Islàmic,Delicte,Danys (lleu),Religiós,Víctima,HOME,54,1
2021,1,gener,RP Central,ABP Bages,Barcelona,Bages,Manresa,Centre religiós Islàmic,Delicte,Danys (lleu),Religiós,Persona autora,HOME,51,1
2021,1,gener,RP  Metropolitana Nord,ABP Premià de Mar,Barcelona,Maresme,Cabrils,Via Pública urbana,Delicte,Lesions (lleu),Etnic/origen nacional/origen racial,Víctima,HOME,19,1
2021,1,gener,RP  Metropolitana Nord,ABP Premià de Mar,Barcelona,Maresme,Cabrils,Via Pública urbana,Delicte,Lesions (lleu),Etnic/origen nacional/origen racial,Víctima,HOME,20,1
2021,1,gener,RP  Metropolitana Nord,ABP Premià de Mar,Barcelona,Maresme,Resta municipis ABP Premià de Mar,Via Pública urbana,Delicte,Lesions (lleu),Ètnic/origen nacional/origen racial,Persona autora,HOME,15,1
2021,1,gener,RP  Metropolitana Nord,ABP Premià de Mar,Barcelona,Maresme,Resta municipis ABP Premià de Mar,Via Pública urbana,Delicte,Lesions (lleu),Ètnic/origen nacional/origen racial,Persona autora,HOME,16,1
2021,1,gener,RP Metropolitana Barcelona,ABP Horta-Guinardó,Barcelona,Barcelonès,Barcelona,Hab. Escala/portal finca/replà,Delicte,Contra exer. drets fonamentals i llib. públiques,LGTBI-fòbia,Persona autora,DONA,34,1
2021,1,gener,RP Metropolitana Barcelona,ABP Horta-Guinardó,Barcelona,Barcelonès,Barcelona,Hab. Escala/portal finca/replà,Delicte,Contra exer. drets fonamentals i llib. públiques,LGTBI-fòbia,Persona autora,HOME,29,1
2021,1,gener,RP Metropolitana Barcelona,ABP Horta-Guinardó,Barcelona,Barcelonès,Barcelona,Hab. Escala/portal finca/replà,Delicte,Contra exer. drets fonamentals i llib. públiques,LGTBI-fòbia,Persona autora,HOME,29,1
2021,1,gener,RP Metropolitana Barcelona,ABP Horta-Guinardó,Barcelona,Barcelonès,Barcelona,Hab. Escala/portal finca/replà,Delicte,Contra exer. drets fonamentals i llib. públiques,LGTBI-fòbia,Víctima,HOME,31,1
2021,1,gener,RP Metropolitana Barcelona,ABP Horta-Guinardó,Barcelona,Barcelonès,Barcelona,Hab. Escala/portal finca/replà,Delicte,Contra exer. drets fonamentals i llib. públiques,LGTBI-fòbia,Persona autora,HOME,24,1
2021,1,gener,RP Metropolitana Barcelona,ABP Horta-Guinardó,Barcelona,Barcelonès,Barcelona,Hab. Escala/portal finca/replà,Delicte,Contra exer. drets fonamentals i llib. públiques,LGTBI-fòbia,Víctima,DONA,29,1
2021,1,gener,RP Metropolitana Barcelona,ABP Nou Barris,Barcelona,Barcelonès,Barcelona,Hab. Escala/portal finca/replà,Delicte,Amenaces,Ètnic/origen nacional/origen racial,Persona autora,HOME,54,1
2021,1,gener,RP Metropolitana Barcelona,ABP Nou Barris,Barcelona,Barcelonès,Barcelona,Hab. Escala/portal finca/replà,Delicte,Amenaces,Etnic/origen nacional/origen racial,Víctima,HOME,67,1
2021,1,gener,RP Metropolitana Barcelona,ABP Horta-Guinardó,Barcelona,Barcelonès,Barcelona,Via Pública urbana,Delicte,Robatori amb violència i/o intimidació,Etnic/origen nacional/origen racial,Víctima,HOME,31,1
2021,1,gener,RP  Metropolitana Nord,ABP Mollet del Vallès,Barcelona,Vallès Oriental,Mollet del Vallès,Tren RENFE-ADIF estació,Delicte,Contra exer. drets fonamentals i llib. públiques,Ètnic/origen nacional/origen racial,Persona autora,HOME,48,1
2021,1,gener,RP  Metropolitana Nord,ABP Mollet del Vallès,Barcelona,Vallès Oriental,Mollet del Vallès,Tren RENFE-ADIF estació,Delicte,Contra exer. drets fonamentals i llib. públiques,Etnic/origen nacional/origen racial,Víctima,HOME,41,1
2021,1,gener,RP  Metropolitana Nord,ABP Arenys de Mar,Barcelona,Maresme,Resta municipis ABP Premià de Mar,Escola,Delicte,Contra exer. drets fonamentals i llib. públiques,Ètnic/origen nacional/origen racial,Persona autora,HOME,74,1
2021,1,gener,RP  Metropolitana Nord,ABP Arenys de Mar,Barcelona,Maresme,Resta municipis ABP Girona,Escola,Delicte,Contra exer. drets fonamentals i llib. públiques,Etnic/origen nacional/origen racial,Víctima,DONA,23,1
2021,1,gener,RP  Metropolitana Nord,ABP Cerdanyola,Barcelona,Vallès Occidental,Resta municipis ABP Bages,Via Pública urbana,Delicte,Contra exer. drets fonamentals i llib. públiques,Etnic/origen nacional/origen racial,Víctima,DONA,40,1
2021,1,gener,RP Metropolitana Sud,ABP l'Hospitalet de Llobregat,Barcelona,Barcelonès,Resta municipis ABP Bages,Via Pública urbana,Delicte,Robatori amb violència i/o intimidació,Religiós,Víctima,HOME,43,1
2021,1,gener,RP Metropolitana Sud,ABP l'Hospitalet de Llobregat,Barcelona,Barcelonès,l' Hospitalet de Llobregat,Via Pública urbana,Delicte,Robatori amb violència i/o intimidació,Religiós,Persona autora,HOME,41,1
2021,1,gener,RP  Metropolitana Nord,ABP Badalona,Barcelona,Barcelonès,Sant Adrià de Besòs,Partit polític,Altres,Diligències informatives,LGTBI-fòbia,Víctima,HOME,44,1
2021,1,gener,RP Metropolitana Barcelona,ABP Eixample,Barcelona,Barcelonès,Barcelona,Via Pública urbana,Delicte,Amenaces (lleu),LGTBI-fòbia,Persona autora,HOME,62,1
