Any,Núm. Mes,Mes,Regió Policial (RP),Àrea Bàsica Policial (ABP),Província,Comarca,Municipi,Tipus de lloc dels fets,Canal dels fets,Tipus de fet,Títol del fet (Codi Penal) o Llei de referència,Tipus de fet (Codi penal) o d'Infracció (altres lleis),Àmbit fet,Nombre fets o infraccions,Nombre víctimes
2021,12,Desembre,RP  Metropolitana Nord,ABP Badalona,Barcelona,Barcelonès,Badalona,Via pública urbana,Presencial,Delictes,De les lesions,Lesions,Sexisme,1,1
2021,6,Juny,RP Central,ABP Anoia,Barcelona,Anoia,Resta municipis ABP Anoia,Habitatge - Escala/portal finca/replà,Presencial,Delictes,Delictes contra la llibertat,Amenaces,Sexisme,1,1
2021,6,Juny,RP Metropolitana Barcelona,ABP Nou Barris,Barcelona,Barcelonès,Barcelona,Via pública urbana,Presencial,Delictes,Delictes contra la llibertat,Amenaces,Orientació política,1,1
2020,1,Gener,RP  Metropolitana Nord,ABP Rubí,Barcelona,Vallès Occidental,Sant Cugat del Vallès,Centre de dia/Residència persones grans,Presencial,Delictes,Delictes contra la Constitució,Contra exercici drets fonamentals i llibertats públiques,"Ètnic, origen nacional i/o racial",1,1
2020,1,Gener,RP Metropolitana Barcelona,ABP Eixample,Barcelona,Barcelonès,Barcelona,Zona d'oci/lúdica,Presencial,Delictes,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Robatori amb violència i/o intimidació,LGTBI-fòbia,1,1
2020,1,Gener,RP  Metropolitana Nord,ABP Cerdanyola,Barcelona,Vallès Occidental,Cerdanyola del Vallès,Habitatge - Primera residència - Casa adossada,Presencial,Delictes,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Danys (lleu),Orientació política,1,1
2020,1,Gener,RP Camp de Tarragona,ABP Tarragonès,Tarragona,Tarragonès,Tarragona,Partit polític,Presencial,Delictes,Delictes contra la llibertat,Coaccions (lleu),Orientació política,1,1
2020,1,Gener,RP Metropolitana Barcelona,ABP Sant Andreu,Barcelona,Barcelonès,Barcelona,Via pública urbana,Presencial,Delictes,Delictes contra la Constitució,Contra exercici drets fonamentals i llibertats públiques,"Ètnic, origen nacional i/o racial",1,2
2020,1,Gener,RP Ponent,ABP Segrià - Garrigues - Pla d'Urgell,Lleida,Segrià,Lleida,Habitatge - Primera residència - Pis/apartament,Internet o xarxes socials,Delictes,Delictes contra la llibertat,Amenaces (lleu),"Ètnic, origen nacional i/o racial",1,1
2020,1,Gener,RP Metropolitana Barcelona,ABP Sants-Montjuïc,Barcelona,Barcelonès,Barcelona,Transport públic - Renfe - Adif - Estació,Presencial,Delictes,De les lesions,Lesions,"Ètnic, origen nacional i/o racial",1,1
2020,1,Gener,RP Camp de Tarragona,ABP Baix Camp - Priorat,Tarragona,Baix Camp,Cambrils,Via pública urbana,Presencial,Delictes,De les lesions,Lesions (lleu),"Ètnic, origen nacional i/o racial",1,2
2020,1,Gener,RP Metropolitana Barcelona,ABP Les Corts,Barcelona,Barcelonès,Barcelona,Habitatge - Primera residència - Pis/apartament,Internet o xarxes socials,Delictes,Delictes contra la llibertat,Amenaces (lleu),Orientació política,1,1
2020,1,Gener,RP Metropolitana Sud,ABP Cornellà de Llobregat,Barcelona,Baix Llobregat,Cornellà de Llobregat,Via pública urbana,Presencial,Delictes,De les lesions,Lesions (lleu),Orientació política,1,1
2020,1,Gener,RP Metropolitana Sud,ABP Cornellà de Llobregat,Barcelona,Baix Llobregat,Cornellà de Llobregat,Habitatge - Primera residència - Pis/apartament,Internet o xarxes socials,Delictes,Delictes contra la llibertat,Amenaces (lleu),"Ètnic, origen nacional i/o racial",1,1
2020,1,Gener,RP Metropolitana Sud,ABP l'Hospitalet de Llobregat,Barcelona,Barcelonès,"Hospitalet de Llobregat, l'",Partit polític,Presencial,Infraccions administratives,Llei 4/15 de Protecció de seguretat ciutadana,Danys / deslluïments de béns mobles / immobles,Orientació política,1,1
2020,1,Gener,RP Metropolitana Sud,ABP Cornellà de Llobregat,Barcelona,Baix Llobregat,Cornellà de Llobregat,Via pública urbana,Presencial,Delictes,De les lesions,Lesions (lleu),Orientació política,1,1
2020,1,Gener,RP Girona,ABP Gironès - Pla de l'Estany,Girona,Pla de l'Estany,Banyoles,Habitatge - Altres espais,Presencial,Delictes,Delictes contra la llibertat,Amenaces,Religiós,1,3
2020,1,Gener,RP Girona,ABP Selva Litoral,Girona,Selva,Lloret de Mar,Via pública urbana,Presencial,Delictes,Delictes contra la Constitució,Contra exercici drets fonamentals i llibertats públiques,"Ètnic, origen nacional i/o racial",1,1
2020,1,Gener,RP Metropolitana Barcelona,ABP Eixample,Barcelona,Barcelonès,Barcelona,Via pública urbana,Presencial,Delictes,Delictes contra la Constitució,Contra exercici drets fonamentals i llibertats públiques,LGTBI-fòbia,1,1
2020,1,Gener,RP Metropolitana Sud,ABP Garraf,Barcelona,Garraf,Vilanova i la Geltrú,Establiments - Restauració - Bar,Presencial,Delictes,Delictes contra la llibertat,Amenaces (lleu),"Ètnic, origen nacional i/o racial",1,2
2020,1,Gener,RP Metropolitana Barcelona,ABP Sant Martí,Barcelona,Barcelonès,Barcelona,Habitatge - Primera residència - Pis/apartament,Presencial,Delictes,Delictes contra la llibertat,Amenaces (lleu),"Ètnic, origen nacional i/o racial",1,1
2020,1,Gener,RP  Metropolitana Nord,ABP Cerdanyola,Barcelona,Vallès Occidental,Cerdanyola del Vallès,Via pública urbana,Presencial,Delictes,Delictes contra la llibertat i la indemnitat sexuals,Abusos sexuals (víctima menor de 16 anys),Sexisme,1,2
2020,1,Gener,RP Metropolitana Sud,ABP l'Hospitalet de Llobregat,Barcelona,Barcelonès,"Hospitalet de Llobregat, l'",Transport públic - Metro - Estació,Presencial,Delictes,Delictes contra la llibertat,Amenaces,"Ètnic, origen nacional i/o racial",1,1
2020,1,Gener,RP Girona,ABP Gironès - Pla de l'Estany,Girona,Gironès,Girona,Hosteleria - Hotel,Presencial,Delictes,Delictes contra la llibertat,Coaccions (lleu),Orientació política,1,1
