ABP_C,REGIO_C,ABP_D,ABP_POB,XMIN,YMIN,XMAX,YMAX
1,Girona,ABP_Girones-PladelEstany,214085,469478.22,4623064.77,499030.18,4673590.5
,,,,,,,
10,Central,ABP_Osona,154204,416061.66,4619944,459225.38,4669724.14
,,,,,,,
11,Tarragona,ABP_Alt_Camp-C.deBarbera,66479,324705.69,4562586.61,377801.53,4604873.17
,,,,,,,
12,Metropolitana,ABP_Alt_Penedes,105670,372428.17,4564585.13,407922.91,4596867.07
,,,,,,,
13,Central,ABP_Anoia,118509,363483.61,4587635.43,404634.47,4629166.41
,,,,,,,
14,Central,ABP_Bages,189994,379536.6,4605215.43,431304.55,4647091.98
,,,,,,,
15,Tarragona,ABP_Baix_Camp-Priorat,202034,303748.8,4533970.358,348271.11,4581519.55
,,,,,,,
16,Ebre,ABP_Baix_Ebre,82634,266695.9,4507364.06,320802.5999,4543446.04
,,,,,,,
17,Metropolitana,ABP_Martorell,125545,399499,4587120.55,415301.81,4606691.82
,,,,,,,
18,Metropolitana,ABP_Gava,180552,403558.19,4568735.634,422595.5779,4579059.21
19,Metropolitana,ABP_Sant_Feliu_de_Llobregat,156822,405537.68,4576492.5,423124.81,4590542.91
2,Girona,ABP_Alt_Emporda-Figueres,83816,462300.26,4662277.3,523692.24,4703514.65
,,,,,,,
20,Tarragona,ABP_Baix_Penedes,101115,365162.8,4559270.574,387186.63,4582783.29
,,,,,,,
21,Ebre,ABP_Terra_Alta-RiberadEbre,36736,264958.73,4522033.01,321502.24,4579279.65
,,,,,,,
22,Tarragona,ABP_Tarragones,250142,339999.18,4546637.09,373918.4365,4568490.6
,,,,,,,
23,Metropolitana,ABP_Garraf,146469,386149.72,4561233.57,411712.3838,4576189.44
,,,,,,,
24,Metropolitana Nord,ABP_ArenysdeMar,138647,457897.87,4602217.928,481597.6914,4621629.63
,,,,,,,
25,Metropolitana Nord,ABP_Mataro,164975,444554.07,4595335.431,461060.55,4609233.46
,,,,,,,
26,Metropolitana Nord,ABP_PremiadeMar,131275,437174.59,4590350.489,450260.7047,4599833.01
,,,,,,,
27,Metropolitana Nord,ABP_Granollers,292579,418158.99,4596118.18,467577.19,4628927.99
,,,,,,,
28,Ebre,ABP_Montsia,72261,260283.86,4488965.37,320899.25,4518417.19
,,,,,,,
31,Pirineu,ABP_Alt_Urgell,22008,345326.45,4644686.28,392407.5,4711520.23
,,,,,,,
32,Pirineu,ABP_Cerdanya,18783,383428.22,4681863.32,419050.41,4706925.68
,,,,,,,
33,Pirineu,ABP_Pallars_Jussa-Pallars_Sobira,21922,308159.32,4652367,372407.6,4739312.36
,,,,,,,
34,Pirineu,ABP_Vall_dAran-Alta_Ribagorsa,14476,306908.92,4685348.18,339554.17,4748184.12
,,,,,,,
35,Central,ABP_Solsones,13808,358408.23,4623564.08,395887.26,4674327.12
,,,,,,,
36,Central,ABP_Bergueda,41540,385375.9,4639289.59,423449.16,4686464.56
,,,,,,,
39,Metropolitana,ABP_lHospitaletdeLlobregat,256065,423723.56,4576649.73,427939.24,4581584.89
