Any,Àmbit territorial,Sexe,Mosso/a,Caporal/a,Sergent/a,Sotsinspector/a,Inspector/a,Intendent/a,Comissari/ària,Major
2019,No comarcalitzat,Dona,334,92,24,6,1,2,1,0
2019,No comarcalitzat,Home,1339,428,157,79,36,20,14,1
2019,RP Camp de Tarragona,Dona,264,23,6,3,0,0,0,0
2019,RP Camp de Tarragona,Home,800,184,68,27,7,2,0,0
2019,RP Central,Dona,186,17,7,1,0,0,0,0
2019,RP Central,Home,470,124,44,20,6,1,1,0
2019,RP Girona,Dona,378,40,9,6,1,0,0,0
2019,RP Girona,Home,1024,235,74,36,9,1,1,0
2019,RP Metropolitana Barcelona,Dona,486,43,16,5,1,1,0,0
2019,RP Metropolitana Barcelona,Home,1781,299,139,50,24,7,1,0
2019,RP Metropolitana Nord,Dona,637,74,10,5,5,1,1,0
2019,RP Metropolitana Nord,Home,1609,339,122,61,12,5,0,0
2019,RP Metropolitana Sud,Dona,441,54,16,0,2,0,0,0
2019,RP Metropolitana Sud,Home,1318,287,115,41,12,4,1,0
2019,RP Pirineu Occidental,Dona,52,13,2,0,0,0,0,0
2019,RP Pirineu Occidental,Home,244,85,25,7,2,1,0,0
2019,RP Ponent,Dona,137,13,3,0,1,0,0,0
2019,RP Ponent,Home,555,129,48,21,9,1,1,0
2019,RP Terres de l'Ebre,Dona,59,8,1,1,0,0,0,0
2019,RP Terres de l'Ebre,Home,272,86,29,7,3,1,0,0
2020,No comarcalitzat,Dona,320,91,25,6,1,2,2,0
2020,No comarcalitzat,Home,1434,434,157,80,37,20,15,1
2020,RP Camp de Tarragona,Dona,272,25,6,3,0,0,0,0
2020,RP Camp de Tarragona,Home,841,192,69,29,7,2,0,0
2020,RP Central,Dona,186,17,7,1,0,0,0,0
2020,RP Central,Home,479,120,42,20,6,1,1,0
2020,RP Girona,Dona,387,39,8,6,1,0,0,0
2020,RP Girona,Home,1045,235,74,36,9,1,1,0
2020,RP Metropolitana Barcelona,Dona,542,54,16,5,0,2,0,0
2020,RP Metropolitana Barcelona,Home,1953,286,136,50,24,7,1,0
2020,RP Metropolitana Nord,Dona,638,75,11,5,3,2,1,0
2020,RP Metropolitana Nord,Home,1632,336,120,61,13,5,0,0
2020,RP Metropolitana Sud,Dona,452,45,15,0,1,0,0,0
2020,RP Metropolitana Sud,Home,1349,288,115,39,13,4,1,0
2020,RP Pirineu Occidental,Dona,46,12,2,0,0,0,0,0
2020,RP Pirineu Occidental,Home,250,87,25,7,2,1,0,0
2020,RP Ponent,Dona,140,13,3,0,1,0,0,0
2020,RP Ponent,Home,557,127,48,21,9,1,1,0
2020,RP Terres de l'Ebre,Dona,62,8,1,1,0,0,0,0
2020,RP Terres de l'Ebre,Home,271,87,29,7,3,1,0,0
2021,No comarcalitzat,Dona,369,94,27,1,7,2,2,0
2021,No comarcalitzat,Home,1558,444,159,69,38,28,15,1
2021,RP Camp de Tarragona,Dona,297,26,6,4,0,1,0,0
2021,RP Camp de Tarragona,Home,834,187,68,21,12,2,1,0
2021,RP Central,Dona,181,16,7,1,0,0,0,0
2021,RP Central,Home,488,113,43,21,7,2,1,0
2021,RP Girona,Dona,389,37,10,6,1,0,0,0
2021,RP Girona,Home,1041,245,78,36,10,1,1,0
2021,RP Metropolitana Barcelona,Dona,540,51,12,4,6,2,0,0
2021,RP Metropolitana Barcelona,Home,1965,283,131,37,27,8,1,0
2021,RP Metropolitana Nord,Dona,702,71,12,5,1,0,1,0
2021,RP Metropolitana Nord,Home,1718,337,114,51,18,5,1,0
2021,RP Metropolitana Sud,Dona,493,44,12,0,0,1,0,0
2021,RP Metropolitana Sud,Home,1433,266,104,39,15,3,1,0
2021,RP Pirineu Occidental,Dona,47,11,2,0,0,0,0,0
2021,RP Pirineu Occidental,Home,276,71,22,7,2,0,1,0
2021,RP Ponent,Dona,139,13,3,0,1,0,0,0
2021,RP Ponent,Home,547,132,51,23,11,1,1,0
2021,RP Terres de l'Ebre,Dona,62,7,1,0,0,0,0,0
2021,RP Terres de l'Ebre,Home,290,79,28,7,2,2,0,0
2022,No comarcalitzat,Dona,383,96,30,3,7,2,1,0
2022,No comarcalitzat,Home,1620,458,165,96,39,25,20,1
2022,RP Camp de Tarragona,Dona,324,29,7,4,0,1,0,0
2022,RP Camp de Tarragona,Home,899,187,69,35,12,3,0,0
2022,RP Central,Dona,201,22,7,1,0,0,1,0
2022,RP Central,Home,511,115,42,21,7,2,0,0
2022,RP Girona,Dona,400,40,11,5,1,0,0,0
2022,RP Girona,Home,1074,234,76,35,10,1,2,0
2022,RP Metropolitana Barcelona,Dona,560,46,19,4,6,2,1,0
2022,RP Metropolitana Barcelona,Home,1954,293,137,45,27,6,0,0
2022,RP Metropolitana Nord,Dona,694,68,20,6,2,1,0,0
2022,RP Metropolitana Nord,Home,1716,343,118,61,17,5,1,0
2022,RP Metropolitana Sud,Dona,502,48,11,1,0,0,0,0
2022,RP Metropolitana Sud,Home,1398,286,123,44,15,4,1,0
2022,RP Pirineu Occidental,Dona,56,12,2,0,0,0,0,0
2022,RP Pirineu Occidental,Home,280,87,29,7,2,1,0,0
2022,RP Ponent,Dona,160,14,3,0,1,0,0,0
2022,RP Ponent,Home,602,126,48,19,11,1,0,0
2022,RP Terres de l'Ebre,Dona,70,9,2,0,0,0,0,0
2022,RP Terres de l'Ebre,Home,294,86,31,12,2,2,0,0
2023,No comarcalitzat,Dona,435,97,32,3,8,0,3,0
2023,No comarcalitzat,Home,1639,454,162,96,37,22,21,1
2023,RP Camp de Tarragona,Dona,346,27,7,3,0,1,0,0
2023,RP Camp de Tarragona,Home,877,189,69,36,12,3,0,0
2023,RP Central,Dona,206,18,4,1,0,0,1,0
2023,RP Central,Home,496,119,45,21,7,2,0,0
2023,RP Girona,Dona,409,45,8,4,1,0,0,0
2023,RP Girona,Home,1065,229,79,36,10,1,2,0
2023,RP Metropolitana Barcelona,Dona,587,38,22,4,5,1,2,0
2023,RP Metropolitana Barcelona,Home,1907,302,134,45,27,6,0,0
2023,RP Metropolitana Nord,Dona,656,71,18,6,2,0,1,0
2023,RP Metropolitana Nord,Home,1738,340,121,62,16,5,1,0
2023,RP Metropolitana Sud,Dona,499,52,11,1,0,0,0,0
2023,RP Metropolitana Sud,Home,1387,283,123,43,14,4,1,0
2023,RP Pirineu Occidental,Dona,65,10,3,0,0,0,0,0
2023,RP Pirineu Occidental,Home,265,89,28,8,1,1,0,0
2023,RP Ponent,Dona,164,12,3,0,0,0,0,0
2023,RP Ponent,Home,599,128,48,19,11,1,0,0
2023,RP Terres de l'Ebre,Dona,68,7,2,0,0,0,0,0
2023,RP Terres de l'Ebre,Home,290,88,31,12,2,2,0,0
